,Номер,Контрагент,Подразделение,Описание,Часы,Оценка,Комментарии
96,БПФР-014801,ТСМ АО,Отдел автоматизации БУ и УУ,"Инициатор: Соколовская Алевтина Николаевна
Консультация по вопросам отражения на остатках  20.01 счета незавершенного производства. Консультация по вопросам правильности отражения начисления и зачету авансовых счет-фактур к книгах продаж и покупок за период 2-4кв.24г.",1.75,8,"Задание содержит недостаточно информации для понимания его сути. Необходимо уточнить:

1. Какие конкретно вопросы по отражению операций с незавершенным производством и авансовыми счет-фактурами требуется рассмотреть?
2. Какой результат ожидается от выполнения задания?
3. Есть ли какие-то специфические требования или ограничения, связанные с задачей?

Поле ""описание работ"" требует более четкого указания задач, чтобы можно было оценить объем работы и ее сложность."
97,БПФР-014802,Завод ТРДМ АО,Отдел автоматизации ЗУП,"Инициатор: Завьялова Светлана Анатольевна (8-904-491-41-23)
Прошу разобраться по следующим вопросам в программе
1. Почему в начислении у Баранова СЮ стоит доля неполного времени?
2. Почему не начисляются резервы на отпуска за январь 2025?
3. Почему по уволенному сотруднику (Шишкина ЮА) не вся сумма попадает в 6-НДФЛ",1.5,10,"**Комментарии:**

1. В задании недостаточно информации о сути вопросов и проблемах, требующих решения. Например, требуется пояснить, почему в начислении у конкретного сотрудника доля неполного времени, и какие именно данные необходимо проверить.
   
2. Вопрос о резервах на отпуска должен содержать более детальное описание проблемы, включая расчетные периоды и особенности настройки программы.

3. По вопросу с Шишкиной Ю.А. важно уточнить, какая именно часть суммы не попадает в 6-НДФЛ и как это отображается в системе.

**Рекомендации:**

1. Уточните вопросы и задачи, чтобы сотрудник мог четко понять, что именно нужно исследовать и изменить в программе.

2. Обозначьте приоритеты задач и выделите ключевые моменты, требующие внимания.

3. Четко укажите, сколько времени отведено на выполнение каждого пункта задания."
98,БПФР-014803,КОРЕНТА ООО,Отдел автоматизации ПУ и ОУ,"Создание резервных копий информационных баз.
Обновление информационной базы типовой конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Обновление информационной базы типовой конфигурации ""1С:Зарплата и Управление персоналом, редакция 3.1"" до актуальной версии 3.1.32.17
Установка патчей.",1.0,8,"Задание требует уточнения:
- Какие именно патчи необходимо установить? Предоставьте список или ссылку на источник информации.
- Возможно, стоит указать порядок действий при обновлении, чтобы избежать ошибок (например, проверить режим совместимости, отключить блокировки и т.д.).
- Включите также проверку после обновления на предмет корректной работы системы."
99,БПФР-014805,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000138
Инициатор: Гарро Ксения Васильевна

Задача: Присвоить  необходимые виды обучения ко всем должностям, согласно загруженных протоколов обучения, чтоб в конечном итоге сформировался график проведения обучения и аттестации сотрудников.",32.0,10,"Задание требует уточнения: какие именно действия необходимо предпринять для укомплектования документов для графика обучения? Необходимо ли собрать данные по сотрудникам, выбрать подходящие курсы, распределить их по времени и должностям? Или же речь идет о более технической задаче, например, настройке системы для автоматического формирования графика?"
100,БПФР-014806,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,Работы в феврале по обращениям в телеграмм/видеоконференции в яндекс телемост,30.0,7,"Задание сотруднику представлено общими фразами без конкретики, что затрудняет понимание объема и содержания задач. Необходимо уточнить, какие именно работы должны быть выполнены, с какими системами работать и какую цель необходимо достичь."
101,БПФР-014807,ДИО-КОНСАЛТ ООО,Отдел разработки,Доработка анкеты компетенций,2.0,8,"Задание сотруднику недостаточно детализировано. Необходимо уточнить объем работы и конкретизировать задачи. Пример доработки:

**Анкеты компетенций** – доработка анкеты компетенций.
**Отдел разработки** – отдел, который будет выполнять задачу.
**Количество часов** – 2.0 (указать точное количество часов или дней).

**Описание работ**:
- **Ревизия вопросов анкеты**: проверка формулировок, логики и соответствия стандартам компании.
- **Обновление анкеты**: актуализация вопросов в соответствии с текущими требованиями бизнеса.
- **Тестирование анкеты**: проведение тестирования среди сотрудников для проверки удобства использования и эффективности.
- **Документирование изменений**: подготовка документации с описанием всех внесенных изменений."
102,БПФР-014808,ЗАВОДОУКОВСКИЙ МАШЗАВОД АО,Отдел автоматизации БУ и УУ,Задачи от гб змз полученные по коннекту,1.75,1,"Задание недостаточно детализировано. Необходимо уточнить, какие именно задачи должны быть выполнены в рамках темы февраля, сколько времени потребуется на каждую задачу и как они соотносятся с работой отдела автоматизации БУ и УУ."
103,БПФР-014892,ЗАВОДОУКОВСКИЙ МАШЗАВОД АО,Отдел автоматизации БУ и УУ,"Инициатор: Зыкова Татьяна Валерьевна
Задание: Вопрос по себестоимости Кедров, окоченных производством  в одном месяце и не оконченных (НЗП)",3.5,8,"Задание содержит недостаточно информации о том, что именно требуется проверить или рассчитать в части правильности исчисления налога на прибыль. Необходимо уточнить, какие конкретно аспекты необходимо проанализировать или какие расчеты провести."
104,БПФР-014649,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Звонок по телефону
Инициатор: Титаренко Виктория Сергеевна
В отчете Отражение удержанного НДФЛ отражается сумма без КБК ",0.25,1,"Задача сформулирована недостаточно четко. Необходимо более подробно описать, что именно требуется проверить или изменить в отчете. Например: 

- **Описание**: В отчете Отражение удержанного НДФЛ не отображается КБК. 
- **Рекомендации**: Проверить настройки отчета, убедиться, что все необходимые поля заполнены корректно, и настроить отчет должным образом."
105,БПФР-014816,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,Лекции по 1С:УНФ для студентов ВУЗа.,4.0,1,"Задание недостаточно детализировано. Необходимо уточнить, какие именно лекции требуются (по каким темам), сколько времени требуется на подготовку каждой лекции, и есть ли дополнительные требования к содержанию или формату."
106,БПФР-014819,ТЕХНО-ЦЕНТР ООО,Отдел автоматизации ПУ и ОУ,"Доработать объект Договор Контрагентов, новый реквизит тип Булево ""Закрыт"". Вывести реквизит на форме элемента. Также доработать список договоров в карточке Контрагента, выводить только открытые договоры. ",8.0,9,"Замечания:
1. В описании задачи указано, что необходимо обновить объекты в двух системах – *1С: Альфа-Авто 5* и *1С: Бухгалтерия 8*. Однако это может потребовать разных подходов и времени. Рекомендуется разделить задачу на два отдельных задания.
2. В разделе «Описание задачи» упоминается новый реквизит «Закрыт», но не уточняется, как именно он должен работать. Необходимо определить логику его использования, например, можно ли менять статус договора с «открытого» на «закрытый».
3. В части «Доработки списка договоров в карточке контрагента» следует указать, где конкретно должна происходить фильтрация: в списке договоров или в отчете по договорам.
4. Общее время на выполнение задачи составляет **8 часов**, что может быть недостаточно для реализации всех указанных требований. Рекомендуется уточнить объем работы и разделить её на несколько этапов."
107,БПФР-014821,СТРОЙ-ИНВЕСТ ООО СК,Отдел автоматизации ПУ и ОУ,"Инициатор: Гулевская Надежда Ивановна (8-982-929-32-65)
Почему после обновления нельзя в авансе добавить вид начисления ""КТУ""",0.25,10,"Задача требует уточнения:  
* Какие именно действия нужно предпринять для решения проблемы с добавлением вида начисления ""КТУ""?  
* Необходимо ли обновление до определенной версии?  
* Есть ли ошибки или сообщения об ошибках при попытке добавить вид начисления?"
108,БПФР-014822,СОГЛАСИЕ ООО,Отдел разработки,"Клиент обратился с просьбой настроить обмен с фильтром ""без текущего"" опер дня для оперативного обмена в течение дня. Полный обмен всех документов должен происходит ночью.
Требуется:
- Разработать расширение, которое будет делать ""фильтр"" на документы к выгрузке для обмена ERP->БП без текущего дня;
- Полный обмен должен проходить ежедневно ночью;
- Частичный обмен (без текущего операционного дня) должен проходить несколько раз в течение раб. дня.
Требуется максимально оптимизировать время обмена для процедур обмена, проходящих несколько раз в день.",8.0,9,"Задание недостаточно детализировано. В нем не указано, какие именно действия должны быть выполнены для настройки фильтрации документов и оптимизации времени обмена. Например, необходимо уточнить, какой тип данных нужно фильтровать, какова структура расширений и каким образом будет происходить ночная полная выгрузка. Также стоит добавить, что конкретно нужно синхронизировать между системами ERP и БП."
109,БПФР-014823,СОГЛАСИЕ ООО,Отдел разработки,"Клиент обратился с просьбой настроить обмен по справочнику номенклатура таким образом, чтобы реквизит номенклатуры ГФУ в ERP передавалася в реквизит Вид номенклатуры в БП.
Требуется разработать расширение, которое по позициям номенклатуры, участвующим в обмене, будет транслировать ГФУ номенклатуры (Справочник.ГруппыФинансовогоУчетаНоменклатуры) в ERP в вид номенклатуры (Справочник.ВидыНоменклатуры) в БП.

Имеются виды номенклатуры с наименованием (и настройками счет отражения) 1в1 со всеми ГФУ в ERP.",8.0,9,"Замечания:
1. В задании отсутствует информация о текущем состоянии настройки синхронизации и о том, какие действия уже были предприняты.
2. Не указаны сроки выполнения задания и планируемая дата начала работы.
3. Необходимо уточнить, требуется ли разработка расширения только для определенной части номенклатуры или для всех позиций.
4. Важно прописать требования к виду номенклатуры в БП, который должен соответствовать ГФУ в ERP.

Комментарий:
Для более точного понимания задачи и успешного выполнения задания рекомендуется добавить больше деталей относительно текущего состояния интеграции, видов номенклатуры в БП и особенностей учета у клиента."
110,БПФР-014824,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,Работы в феврале по обращениям в телеграмм/видеоконференции в яндекс телемост,2.75,8,"Задание недостаточно детализировано. Нужно указать конкретные задачи, которые необходимо выполнить, с указанием сроков и ожидаемых результатов. Например: 

**Задание:**
- **Наименование:** Настройка отчетности по резерву на оплату отпусков.
- **Детализация:**
  1. Проверить корректность настройки отчета по резерву на оплату отпусков в бухгалтерском учете.
  2. Обновить форму отчета согласно новым требованиям законодательства.
  3. Протестировать отчет на нескольких примерах.
  4. Подготовить инструкцию по использованию обновленного отчета.
- **Дата завершения:** 15 февраля.
- **Результат:** Обновленный отчет по резерву на оплату отпусков, готовый к использованию и протестированный."
111,БПФР-014825,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000142
Инициатор: Титаренко Виктория Сергеевна
Разовые начисления - Премия за сверх. операции",2.25,10,"Задание недостаточно детализировано. Пример правильного оформления:

**Тикет №КЖ000000142**  
**Подразделение: Отдел автоматизации ЗУП**  
**Инициатор: Титаренко Виктория Сергеевна**  
**Наименование задачи: Разовые начисления – Премия за сверх. операции**  
**Количество часов: 2.25 ч**  
**Описание работы: Провести расчет премии за сверх. операции, внести данные в систему и подготовить отчетность.**"
112,БПФР-014826,Девятков Александр Владимирович ИП,Отдел автоматизации ПУ и ОУ,"Инициатор: Лаптева Маргарита Сергеевна
Задача: не попадание в книгу доходов по патенту операций по безналичным расчетам ",2.25,1,"Замечания по заданию:

1. **Неполное описание задачи**: В описании недостаточно конкретики о том, какие именно операции по безналичным расчетам должны быть учтены или исключены из книги доходов по патенту. Необходимо уточнить этот момент.
   
2. **Количество часов**: 2.25 часа явно недостаточно для выполнения поставленной задачи. Нужно либо пересмотреть объем работы, либо выделить более реалистичное время.

3. **Отсутствие контекста**: Не указано, к какому периоду относится данная задача, что может повлиять на ее приоритетность и сроки выполнения.

4. **Ясность формулировок**: Важно четко сформулировать задачу, чтобы избежать недопонимания со стороны исполнителя.

Рекомендации:
- Уточнить, какие именно операции необходимо исключить.
- Пересмотреть объем времени, необходимый для выполнения задачи.
- Добавить информацию о сроках выполнения и возможных приоритетах."
113,БПФР-014828,ТСМ АО,Отдел автоматизации ЗУП,"Инициатор: Собольникова Анна Сергеевна 
(7-3456-25-30-90 доб. 121)
Задание:
В 6-НДФЛ не встает сумма, которая была откорректирована операцией учета НДФЛ",0.25,8,"Задание требует уточнения: необходимо более подробно описать проблему с 6-НДФЛ и указать, какие именно шаги должны быть выполнены для её решения. Также стоит определить, требуется ли корректировка операций в базе данных или достаточно внести изменения в отчетность."
114,БПФР-014830,СИБИТЕК АО,Отдел автоматизации ЗУП,"Инициатор: Сафиханова Шахсанем (Алина) Сафихановна
Задача:НДФЛ не считает в б/л Атамирзаев Алишер",3.0,8,"Замечания:
1. **Детализация задачи**: В описании задачи недостаточно информации о том, что именно происходит с НДФЛ при больничном листе Атамирзаева Алишера.
2. **Избыточные часы**: Поле **""Количество часов""** заполнено с избытком (2 часа вместо необходимого минимума).
3. **Содержание задач**: Описание работы содержит повторение, но не добавляет новой полезной информации.
4. **Рекомендации**: Рекомендация касается общей практики компании без конкретики, как это связано с задачей.

Рекомендации:
- Добавить более точное описание проблемы, связанное с НДФЛ при больничных листах.
- Уменьшить количество часов до минимально необходимых для выполнения задачи.
- Четче формулировать рекомендации, основываясь на решении текущей задачи."
115,БПФР-014888,БСТ ООО,Отдел автоматизации БУ и УУ,"Работа с пользователями Шахты ""Большевик"", Шахты ""Антоновская"", ПВВ",31.25,1,"Задание недостаточно конкретное. Необходимо уточнить, какие именно действия должны быть выполнены в отношении пользователей шахт ""Большевик"", ""Антоновская"" и ПВВ, и как это связано с автоматизацией бухгалтерского и управленческого учета."
116,БПФР-014851,СИБИТЕК АО,Отдел автоматизации ЗУП,"Инициатор: Сафиханова Шахсанем (Алина) Сафихановна
Задача:Корректировка по сотрудникам Макарова и Бессонов",1.75,8,"Замечания:
1. Описание задачи (""Корректировка по сотрудникам Макарова и Бессонов"") недостаточно детализировано. Нужно уточнить, какие именно корректировки требуются.
2. Не указано, какое сальдо необходимо закрыть и как это связано с отсутствием подразделений в документах на выплату зарплаты.
3. Описание работ содержит повторение информации о том, что изменения были внесены и проверены.
4. Общее количество часов (1.75) кажется недостаточным для выполнения указанной задачи."
117,БПФР-014831,ПУРГАЗ АО,Отдел автоматизации БУ и УУ,"Инициатор: Ольга Гульчак
В 1С по 68 счету НДФЛ в уведомлении не отражаются проводки по КБК 18210102210011000110",0.25,1,"Задание недостаточно детализировано. Необходимо уточнить:
- Что именно требуется проверить или изменить?
- Какие ожидаемые результаты должны быть достигнуты после выполнения задачи?
- Есть ли какие-то конкретные шаги или действия, которые нужно предпринять?"
118,БПФР-014832,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000143
Инициатор: Титаренко Виктория Сергеевна
Виды начислений в р/л",,10,"Задача требует уточнения. Что конкретно нужно сделать с видами начислений в расчетных листах? Необходимо изменить существующие виды начислений или добавить новые? Если возможно, предоставьте более детальное описание работ."
119,БПФР-014834,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел разработки,"Тикет №КЖ000000144
Инициатор: Бохинский Евгений Викторович
Добавлять файлы в заявку на покупку",2.0,10,"Задание недостаточно детализировано. Необходимо уточнить, какие именно действия должны быть выполнены для добавления файлов в заявку на покупку, а также указать критерии успешного выполнения задачи."
120,БПФР-014838,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,"Инициатор: Вернигора Ольга Сергеевна
Печатная форма доп. соглашения изменения МРОТа по документу ""Изменение плановых начислений"" в базе ИТС.",7.0,8,"Задание недостаточно детализировано. Необходимо уточнить, какие именно действия должен предпринять сотрудник для выполнения задачи, например:

- Найти печатную форму доп. соглашения об изменении МРОТ в базе ИТС.
- Проверить соответствие формы требованиям законодательства.
- При необходимости – скорректировать форму.
- Предоставить готовую печатную форму с внесенными изменениями."
121,БПФР-014839,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,Необходимо запретить пользователям менять номенклатуру в 1С:ERP АПК,1.5,1,Запрет на изменение номенклатуры в 1С:ERP АПК уже реализован через настройку прав доступа. Дополнительно проверьте наличие соответствующих ролей у пользователей.
122,БПФР-014840,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,Необходимо реализовать обмен между конфигурациями МЕС и ERP АПК через http по аналогии с обменом МЕС - БП СХ,33.25,8,"Задание содержит недостаточно информации о том, что именно необходимо синхронизировать между системами и как это должно работать. Важно уточнить детали: какие данные должны передаваться, в каком формате, какие действия будут выполняться на стороне обеих систем и т.д."
123,БПФР-014841,ЗЕРНОВОЕ ООО,Отдел автоматизации ПУ и ОУ,"Обновление типовой конфигурации ""1С:Бухгалтерия сельскохозяйственного предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Обновление типовой конфигурации ""Зарплата и Управление Персоналом, редакция 3.1"" до последнего актуального релиза 3.1.32.17",1.0,10,"Задание сформулировано кратко, но требует уточнения:

1. **Что именно подразумевается под обновлением типовых конфигураций?** Например, нужно ли сохранить данные и настройки, какова последовательность действий, какие конкретные файлы будут использоваться?
   
2. **Какие версии будут обновляться и почему выбраны именно они?** Важно понимать, что последние актуальные релизы могут меняться, поэтому нужна ясность.

3. **Нужно ли дополнительно тестировать обновления перед внедрением?** Если да, то сколько времени это займет?

4. **Как будут фиксироваться результаты обновления?** Это может включать создание резервных копий данных, ведение логов и т.д.

5. **Есть ли необходимость в консультации со специалистами или согласовании с другими отделами?** Если да, то кто должен быть привлечен к этому процессу?

6. **Каковы ожидаемые сроки выполнения задачи?** Нужно уточнить, что 1 час – это минимальное время, необходимое для выполнения подобных задач, особенно если речь идет о сложных конфигурациях.

Эти детали помогут лучше понять объем работы и избежать возможных проблем при выполнении задания."
124,БПФР-014845,Агротехнический центр АО,Отдел автоматизации ПУ и ОУ,Подключение сервиса 1С:Распознавание первичных документов (1С:РПД),0.5,10,"Задание сотруднику представлено кратко, но требует уточнения. В текущем виде непонятно, какие конкретные действия должны быть выполнены для подключения сервиса 1С:Распознавание первичных документов (1С:РПД). Например, необходимо уточнить шаги, такие как настройка интеграции с системой, обучение сотрудников работе с сервисом, тестирование его функционала и т.д. Также важно указать, кто является инициатором этого задания и каковы сроки выполнения."
125,БПФР-014865,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Инициатор: Титоренко Виктория Сергеевна

Задача: в начисление заработной платы попадают перерасчеты всех сотрудников за январь",3.5,7,"Задачи с указанием количества часов менее 3 требуют более детального описания работ. В данном случае рекомендую добавить конкретику о том, какие именно перерасчеты необходимо провести и как они влияют на начисления зарплаты."
126,БПФР-014547,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Инициатор: Калачева Галина Юрьевна
Суточные сверх норм по Шамамедову и Тимирзякову ",1.25,8,"Замечания по заданию:

1. **Недостаточно конкретики**: В описании задачи указано только общее направление работы (""суточные сверх норм""), но нет четкого перечня действий, которые необходимо выполнить.
   
2. **Объем времени**: Указано, что на задачу требуется 1.25 часа, однако это очень мало для выполнения подобной задачи. Необходимо уточнить объем работы и определить, достаточно ли этого времени.

3. **Отсутствие контекста**: Не указано, кто такие Шамамедов и Тимирзяков, к каким договорам или периодам относятся эти суточные, что может потребовать дополнительного исследования.

4. **Неточность формулировки**: Формулировка ""создана инструкция по оценочным обязательствам и резервам по отпускам"" звучит двусмысленно и требует уточнения, так как она не соответствует стандартному описанию задачи по работе с суточными.

Рекомендации:
- Уточните описание задачи, добавив детали о том, какие именно действия нужно выполнить с суточными (например, расчет, корректировка, проверка).
- Определите более точное время, необходимое для выполнения задачи.
- Если возможно, укажите, к какому контракту, проекту или отчетному периоду относится данная работа."
127,БПФР-014884,ДИО-КОНСАЛТ ООО,Отдел разработки,Создание печатной формы УПД + Реестр принятых в работу и выполненных заявок ,10.0,8,"Задание требует уточнения: что именно подразумевается под ""созданием печатной формы УПД"" и ""реестром принятых в работу и выполненных заявок""? Необходимо более подробно описать процессы и их взаимосвязь. Также стоит указать, какие результаты ожидаются в итоге выполнения задания."
128,БПФР-014854,АЛЬКОР ЗАО МПКФ,Отдел автоматизации ЗУП,"Инициатор: Валова Ирина Владимировна (8-922-267-66-37)

Задание: 
1. Как в программе перевести сотрудников на другие должности",0.25,1,"Задание недостаточно детализировано. Необходимо уточнить, какие именно действия требуются для перевода сотрудников на другие должности, включая возможные расчеты и корректировки в системе."
129,БПФР-014857,Завод ТРДМ АО,Отдел автоматизации ЗУП,"Инициатор: Завьялова Светлана Анатольевна (8-904-491-41-23)
Почему в документе Погашение займа сотруднику отсутствует задолженность.",0.25,1,"Замечание: В описании задачи недостаточно информации. Пожалуйста, уточните, какая именно проблема с погашением займа сотруднику возникает, какие шаги уже предприняты и что конкретно требуется проверить или исправить."
130,БПФР-014858,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,Настройка подписантов в документах,0.5,10,"Задание недостаточно детализировано. Необходимо указать, какие конкретно действия должны быть выполнены для настройки подписантов, например:
- Добавление новых подписантов в систему
- Настройка ролей и прав доступа
- Обновление существующих конфигураций подписантов
- Тестирование функционала после настройки

Количество часов также требует уточнения, исходя из объема работы."
131,БПФР-014859,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел разработки,"Тикет №КЖ000000145
Инициатор: Бохинский Евгений Викторович
Разработка отчета по услугам",5.0,8,Задание требует уточнения: что именно подразумевается под отчетом по услугам? Какие данные должны быть включены в отчет? Какой формат ожидается? Необходимо ли добавить дополнительные поля или фильтры?
132,БПФР-014867,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,Сопровождение при переходу ИТС из ЗУП 2.5 в ЗУП 3.1 (Опытная эксплуатация),33.0,8,"Задание недостаточно детализировано. Необходимо уточнить, какие конкретные шаги должны быть выполнены при сопровождении перехода с ИТС 2.5 на ИТС 3.1, например:
- Проверка соответствия данных между версиями;
- Настройка новых функциональностей;
- Тестирование работы системы после перехода;
- Подготовка документации и т.д."
